Sample	Year	location	Species	Residency status
SRR10873888	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10873911	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10873913	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10873924	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10882830	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10882828	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10882820	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10882650	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10882647	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10882646	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10882641	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10882604	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10875352	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10874919	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10874838	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10874832	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10874828	2018-2019	China  Heilongjiang	Anser albifrons	migratory birds
SRR10874869	2018-2019	China  Heilongjiang	Emberiza elegans	migratory birds
SRR10874837	2018-2019	China  Heilongjiang	Emberiza chrysophrys	migratory birds
SRR10875096	2018-2019	China  Heilongjiang	Emberiza rustica	migratory birds
SRR10875097	2018-2019	China  Heilongjiang	Emberiza rustica	migratory birds
SRR10874831	2018-2019	China  Heilongjiang	Emberiza rustica	migratory birds
SRR10874836	2018-2019	China  Heilongjiang	Emberiza rustica	migratory birds
SRR10874840	2018-2019	China  Heilongjiang	Emberiza rustica	migratory birds
SRR10874849	2018-2019	China  Heilongjiang	Emberiza rustica	migratory birds
SRR10874024	2018-2019	China  Heilongjiang	Emberiza pusilla	migratory birds
SRR10874026	2018-2019	China  Heilongjiang	Emberiza pusilla	migratory birds
SRR10873997	2018-2019	China  Heilongjiang	Emberiza spodocephala	migratory birds
SRR10873975	2018-2019	China  Heilongjiang	Emberiza spodocephala	migratory birds
SRR10873964	2018-2019	China  Heilongjiang	Emberiza spodocephala	migratory birds
SRR10873956	2018-2019	China  Heilongjiang	Emberiza spodocephala	migratory birds
SRR10873952	2018-2019	China  Heilongjiang	Emberiza spodocephala	migratory birds
SRR10882847	2018-2019	China  Heilongjiang	Emberiza spodocephala	migratory birds
SRR10874397	2018-2019	China  Heilongjiang	Pinicola enucleator	Resident birds
SRR10874813	2018-2019	China  Heilongjiang	Carduelis spinus	migratory birds
SRR10874842	2018-2019	China  Heilongjiang	Carduelis spinus	migratory birds
SRR10874862	2018-2019	China  Heilongjiang	Carpodacus erythrinus	migratory birds
SRR10874895	2018-2019	China  Heilongjiang	Carduelis flammea	migratory birds
SRR10875353	2018-2019	China  Heilongjiang	Motacilla alba	migratory birds
SRR10873878	2018-2019	China  Heilongjiang	Regulus Goldcrest	Resident birds
SRR10874058	2018-2019	China  Heilongjiang	Coccothraustes coccothraustes	Resident birds
SRR10874059	2018-2019	China  Heilongjiang	Coccothraustes coccothraustes	Resident birds
SRR10873810	2018-2019	China  Heilongjiang	Carpodacus roseus	migratory birds
SRR10873780	2018-2019	China  Heilongjiang	Carpodacus roseus	migratory birds
SRR10873974	2018-2019	China  Heilongjiang	Fringilla montifringilla	migratory birds
SRR10873977	2018-2019	China  Heilongjiang	Fringilla montifringilla	migratory birds
SRR10873981	2018-2019	China  Heilongjiang	Fringilla montifringilla	migratory birds
SRR10873995	2018-2019	China  Heilongjiang	Fringilla montifringilla	migratory birds
SRR10873998	2018-2019	China  Heilongjiang	Fringilla montifringilla	migratory birds
SRR10873761	2018-2019	China  Heilongjiang	Fringilla montifringilla	migratory birds
SRR10874030	2018-2019	China  Heilongjiang	Eophona migratoria	migratory birds
SRR10873954	2018-2019	China  Heilongjiang	Prunella montanella 	Resident birds
DRR279222	2016	Japan	Anas acuta	migratory birds
DRR279219	2016	Japan	Anas penelope	migratory birds
DRR279221	2016	Japan	Anas penelope	migratory birds
DRR279220	2016	Japan	Anas platyrhynchos?or/and?Anas zonorhyncha	migratory birds
DRR173096	2016	Japan	Grus monacha	migratory birds
DRR173097	2016	Japan	Grus monacha	migratory birds
DRR173098	2016	Japan	Grus monacha	migratory birds
DRR173099	2016	Japan	Grus monacha	migratory birds
DRR173100	2016	Japan	Grus monacha	migratory birds
DRR173101	2016	Japan	Grus monacha	migratory birds
SRR5431712	2013	New Zealand	Strigops habroptilus	Resident birds
SRR5431713	2013	New Zealand	Strigops habroptilus	Resident birds
SRR5431714	2013	New Zealand	Strigops habroptilus	Resident birds
SRR5431715	2013	New Zealand	Strigops habroptilus	Resident birds
SRR5431716	2013	New Zealand	Strigops habroptilus	Resident birds
SRR5431717	2013	New Zealand	Strigops habroptilus	Resident birds
ERR11205105	2018	"Innlandet, Stor-Elvdal"	Tetrao urogallus	Resident birds
SRR7039258	2014	Norway(69.81¡«N 18.78¡«E)	Lagopus muta	Resident birds
SRR7039257	2014	Norway(69.81¡«N 18.78¡«E)	Lagopus muta	Resident birds
SRR7039256	2014	Norway(69.81¡«N 18.78¡«E)	Lagopus muta	Resident birds
SRR7039255	2014	Norway(69.81¡«N 18.78¡«E)	Lagopus muta	Resident birds
SRR7039262	2014	Svalbard(78¡«N 16¡«E)	Lagopus muta	Resident birds
SRR7039263	2014	Svalbard(78¡«N 16¡«E)	Lagopus muta	Resident birds
SRR7039260	2014	Svalbard(78¡«N 16¡«E)	Lagopus muta	Resident birds
SRR7039259	2014	Svalbard(78¡«N 16¡«E)	Lagopus muta	Resident birds
SRR7039261	2014	Svalbard(78¡«N 16¡«E)	Lagopus muta	Resident birds
ERR11205103	2018	"Troms og Finnmark, Dividalen"	Tetrao urogallus	Resident birds
ERR11205108	2018	"Tr?ndelag, Steinkjer"	Tetrao urogallus	Resident birds
ERR11205109	2018	"Tr?ndelag, Steinkjer"	Tetrao urogallus	Resident birds
ERR11205104	2018	"Tr?ndelag, Trondheim"	Tetrao urogallus	Resident birds
ERR11205106	2018	"Tr?ndelag, Trondheim"	Tetrao urogallus	Resident birds
ERR11205107	2018	"Tr?ndelag, Trondheim"	Tetrao urogallus	Resident birds
SRR13307418	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307419	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307420	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307421	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307422	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307423	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307424	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307425	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307426	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307427	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307428	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307429	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307430	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307431	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307432	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307433	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307434	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307435	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307436	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307437	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307438	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307439	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307440	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307441	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307442	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307443	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307444	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307445	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307446	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307447	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307448	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307449	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307450	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307451	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307452	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307453	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307454	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307455	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307456	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307457	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307458	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307459	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307460	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307461	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307462	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307463	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307464	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307465	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307466	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307467	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307468	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307469	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307470	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307471	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307472	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307473	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307474	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307475	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307476	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307477	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307478	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307479	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307480	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307481	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307482	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307483	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307484	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307485	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307486	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307487	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307488	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307489	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307490	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307491	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307492	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307493	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307494	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307495	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307496	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307497	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307498	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307499	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307500	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307501	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307502	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307503	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307504	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307505	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307506	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307507	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307508	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307509	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307510	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307511	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307512	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307513	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307514	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307515	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307516	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307517	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307518	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307519	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307520	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307521	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307522	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307523	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307524	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307525	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307526	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307527	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307528	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307529	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307530	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307531	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307532	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307533	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307534	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307535	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307536	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307537	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307538	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307539	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307540	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307541	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307542	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307543	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307544	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307545	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307546	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307547	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307548	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307549	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307550	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307551	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307552	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307553	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307554	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307555	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307556	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307557	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307558	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307559	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307560	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307561	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307562	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307563	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307564	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307565	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307566	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307567	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307568	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307569	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307570	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307571	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307572	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307573	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307574	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307575	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307576	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307577	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307578	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307579	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307580	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307581	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307582	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307583	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307584	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307585	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307586	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307587	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307588	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307589	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307590	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307591	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307592	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307593	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307594	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307595	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307596	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307597	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307598	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307599	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307600	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307601	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307602	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307603	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307604	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307605	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307606	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307607	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307608	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307609	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307610	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307611	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307612	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307613	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307614	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307615	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307616	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307617	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307618	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307619	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307620	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307621	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307622	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR13307623	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR26091304	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR26091305	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR26091306	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR26091307	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR26091308	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR26091309	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR26091310	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR26091311	2016	"Abbotsbury,Weymouth"	Cygnus olor	Resident birds
SRR21527946	2018	USA	Branta canadensis	Resident birds
SRR21527948	2018	USA	Branta canadensis	Resident birds
SRR21527944	2018	USA	Branta canadensis	Resident birds
SRR21527945	2018	USA	Branta canadensis	Resident birds
SRR21527956	2018	USA	Branta canadensis	Resident birds
SRR21527943	2018	USA	Branta canadensis	Resident birds
SRR21527947	2018	USA	Branta canadensis	Resident birds
SRR21527967	2018	USA	Branta canadensis	Resident birds
SRR21527968	2018	USA	Branta canadensis	Resident birds
